published_date,topic,source,region,title,url,full_text
03-12-2026,Iran Israel war,New Age,World,"JD Vance treads Iran tightrope, with eye on 2028",https://www.newagebd.net/post/north-america/293760/jd-vance-treads-iran-tightrope-with-eye-on-2028,"For a man with his eye on the White House in 2028, US vice president JD Vance has kept a low profile since the start of the Iran war. The former US marine, who served in Iraq, built a political brand as a non-interventionist who wanted to keep America out of anymore long, foreign wars. But the 41-year-old now finds himself treading a tightrope between loyalty to Donald Trump on Iran, and to the conflict-sceptic MAGA faithful he'll need to win the Republican nomination in two years. Even Trump admitted they had their differences on 'Operation Epic Fury.' 'He was, I would say, philosophically a little bit different than me,' Trump said on Monday of Vance. 'I think he was maybe less enthusiastic about going — but he was quite enthusiastic.' While he has publicly backed Trump's Iran operation, Vance has only given one television interview since it started, in which he stressed it would not be another American 'forever war.' The New York Times reported that once it was clear Trump was set on the strikes, Vance pushed for them to move quickly. On the night the war started, Vance was in the White House Situation Room, according to a photo issued by his office, while the president, US secretary of state Marco Rubio and other key team members were huddled at Trump's Mar-a-Lago resort in Florida. He has not commented when attending the transfers of US service members killed in Iran, and referred only briefly to the 'conflict' in an unrelated political event this week. The usually prolific social media user also has been virtually silent. 'The war's put him in a very uncomfortable space, ideologically and politically,' Matt Dallek, a professor of political management at George Washington University, told AFP. 'Maybe even more than Trump, JD Vance came to power because of his anti-interventionist credentials.' Vance's office did not respond when asked multiple times to comment by AFP. But his spokesman William Martin said on X earlier this week that claims he was keeping a low profile were 'ridiculous,' noting that Vance was on 'primetime TV' after the operation began. In past years, Vance has been much more vocal. Vance was the senator for Ohio when he wrote an opinion piece in the Wall Street Journal in 2023 titled: 'Trump's Best Foreign Policy? Not Starting Any Wars.' In the 2024 election, as Trump's vice presidential candidate, he said that 'our interest, I think very much, is in not going to war with Iran.' In office, Vance has also served as Trump's attack dog on foreign policy. His hawkish opposition to US support for Ukraine after Russia's invasion exploded into the open when he triggered a furious confrontation between Ukrainian president Volodymyr Zelensky and Trump in the Oval Office last year. Vance has, however, always been a political chameleon. In the lead-up to the 2016 US presidential election, Vance once compared the Republican to Nazi leader Adolf Hitler. But what does it mean for Vance in what is widely expected to be a battle against top diplomat Rubio in 2028? Neither man has officially declared his intention to run for the presidency — and Rubio has publicly said he won't challenge the man who has become one of his closest friends in the administration if he throws his hat in the ring. Trump meanwhile has not said which one he will chose to anoint as the heir to his MAGA movement. But the Wall Street Journal said that Rubio got far louder cheers when Trump asked a crowd at a Mar-a-Lago fundraiser on the evening before the Iran attacks which one they wanted. A long-term foreign policy hawk, Rubio, 54, has been heavily involved in the planning and defence of the Iran operation and has repeatedly won Trump's praise in recent months. But Trump's shadow will be hard to escape for both men. 'Whatever Vance man says or does, it be very hard for him to distance himself from Trump — and for that matter Rubio's going to have a hard time doing this as well,' said George Washington University's Dallek."
03-12-2026,Iran Israel war,New Age,World,"Three million displaced inside Iran amid US‑Israel attacks, says UN",https://www.newagebd.net/post/Europe/293747/three-million-displaced-inside-iran-amid-usisrael-attacks-says-un,"Up to 3.2 million people have been displaced inside Iran since US and Israel started attacking the country, the United Nations refugee agency said Thursday. 'Between 600,000 and one million Iranian households are now temporarily displaced inside Iran as a result of the ongoing conflict, according to preliminary assessments,' said Ayaki Ito, who heads UNHCR's emergency support team and is the refugee response coordinator for the Middle East emergency. That represents 'up to 3.2 million people', he said in a statement, warning that 'this figure is likely to continue rising as hostilities persist, marking a worrying escalation in humanitarian needs'. The United States and Israel launched the first wave of attacks on February 28 in a war that has seen Iran strike targets in multiple countries around the Gulf. Ito said that most of those displaced were reportedly 'fleeing from Tehran and other major urban areas towards the north of the country and rural areas to seek safety'. Refugee families hosted in the country, most of them Afghans, had also been affected, he said, warning that they were 'particularly vulnerable, given their already precarious situation and limited support networks'. 'Families are leaving affected areas amid rising insecurity and limited access to essential services,' he said. The UN refugee agency, which has had a longstanding presence in Iran, said it was 'adapting its response to growing needs, working with national authorities and partners to assess emerging requirements and strengthen preparedness as population movements increase'. 'UNHCR emphasises the urgent need to protect civilians, maintain humanitarian access, and ensure borders remain open to those seeking safety, in line with international obligations,' Ito said."
03-12-2026,Iran Israel war,New Age,World,"War against Iran cost US $11b in six days, reports NYT",https://www.newagebd.net/post/middle-east/293745/war-against-iran-cost-us-11b-in-six-days-reports-nyt,"The opening week of the war against Iran cost the United States more than $11.3 billion, lawmakers were told in a Pentagon briefing, according to a New York Times report underscoring the pace at which the conflict is consuming weapons and resources. The Times, citing unnamed sources familiar with Tuesday's closed-door briefing, said members of Congress were told that the figure excludes many costs connected with the buildup to the strikes -- suggesting the final tally for the first week could rise substantially. Defense officials had previously told Congress that roughly $5.6 billion worth of munitions were expended in just the first two days of fighting, according to US media -- a burn rate far higher than earlier public estimates. The Center for Strategic and International Studies (CSIS) independent think tank in Washington estimated that the first 100 hours of Operation Epic Fury cost $3.7 billion -- or more than $891 million per day. Most of these costs, $3.5 billion, had not already been budgeted, the CSIS said. The Iran War Cost Tracker website, which estimates the cost of the conflict in real time, showed a figure of more than $17 billion on its counter at around 08:00 GMT on Thursday. According to the site, the United States is spending $1 billion per day on the war. However, it points out the true cost of the war is likely higher, as the figures do not take into account long-term expenses such as veteran healthcare."
03-12-2026,Iran Israel war,New Age,World,"Iran targets fuel facilities, sending oil soaring again",https://www.newagebd.net/post/Middle%20East/293736/iran-targets-fuel-facilities-sending-oil-soaring-again,"Iran launched a new wave of attacks against Gulf energy targets on Thursday, hours after two oil tankers were hit, sending crude prices soaring again despite record reserve releases. The renewed drone and missile attacks against Iran's Gulf neighbours and Israel followed a warning from Tehran that it could wage a prolonged war that would 'destroy' the world economy. US President Donald Trump meanwhile insisted Iran was facing imminent defeat, though he cautioned that did not mean the war would end 'immediately.' The war launched by the United States and Israel has rapidly spread across the region, with hundreds killed by Israeli strikes in Lebanon, and sparked global economic upheaval. On Thursday morning, Bahrain told residents to stay inside and close windows after an Iranian attack on fuel tanks, while Saudi Arabia said it intercepted drones headed towards the Shaybah oil field and the embassies district. Earlier, drones struck fuel tanks at Oman's Salalah port, where operations were subsequently suspended. Shipping in and around the crucial Strait of Hormuz chokepoint also came under attack, with a container ship near the United Arab Emirates hit by an 'unknown projectile,' the UK maritime agency said in an alert Thursday. The projectile caused a small fire onboard, but all crew were reported as safe, the agency said. That incident followed an attack on two oil tankers near Iraq that authorities said Thursday had killed at least one crew member, Another 38 had been rescued but a search for others was ongoing, authorities said. The Iraqi government's media cell told national news agency INA that the 'two tankers were subject to sabotage' and the oil ministry said it had 'deep concern' about incidents involving oil tankers in the Gulf. The Strait of Hormuz, though which a fifth of the world's oil passes, has effectively been closed by Iranian threats. Iran has vowed that not one litre of oil will be exported from the Gulf while the US-Israeli attack continues. In the last day alone, at least four incidents involving vessels in the region have been reported, including a Thai bulk carrier hit by two projectiles on Wednesday. Three members of its crew are missing 'and believed to be trapped in the engine room' of the ship, according to transport company Precious Shipping. Suspected Iranian attacks were also reported elsewhere in the Gulf Thursday, with Kuwait saying two people were injured by a 'hostile drone' that hit a residential building. The UAE also said its air defence was responding to a missile threat. The renewed attacks came shortly after Trump insisted Iran was 'pretty much at the end of the line.' 'Doesn't mean we're going to end it immediately, but they are,' he told reporters. He also threatened that Washington could strike infrastructure that would take a generation to rebuild, while indicating he would prefer to show restraint. Earlier he said the United States must 'finish the job' in Iran, adding that US forces had struck 28 Iranian mine-laying vessels. Iran's Revolutionary Guards meanwhile warned Wednesday they would strike 'economic centres and banks' linked to US and Israeli interests, prompting more international firms to evacuate staff from Dubai. The United States and Israel 'must consider the possibility that they will be engaged in a long-term war of attrition that will destroy the entire American economy and the world economy,' Ali Fadavi, an adviser to the Guards' commander-in-chief, told state television. The war's economic impacts have already been felt widely. On Thursday, oil prices soared past $100 a barrel, despite the International Energy Agency's decision to authorise a record release of strategic crude reserves. The energy body said Wednesday that its members had agreed to unlock 400 million barrels of oil, including 172 million from the United States. But the move was not enough to overcome fears of a prolonged conflict, and analysts said $90-100 a barrel could be the new normal for a while. The war's spread has hit Lebanon particularly hard, with Israel launching strikes and ground operations against Iran-backed Hezbollah. The offensive has killed more than 630 people, according to Lebanese authorities, while more than 800,000 people have registered as displaced, with around 126,000 of them staying in collective shelters. Many others have been forced to sleep in the open, including along the Beirut seafront where an Israeli strike killed at least seven people on Thursday morning. That followed an earlier strike on a residential building in a central Beirut neighbourhood. An AFP correspondent saw destroyed walls on the building's seventh and eighth floors, with damaged cars nearby. When the strike hit, 'I ran from room to room, pulled my wife and daughter out of the rooms and hid them behind a wall, then the second strike hit,' said Fawzi Asmar, owner of a bakery on the same street. The Israeli military said early Thursday that it had 'begun a wide-scale wave of strikes targeting terror infrastructure belonging to the Hezbollah terrorist organization across Lebanon.' Israel's military said early Thursday it had detected a new launch of missiles directed at the state from Iran. Iran's health ministry said on March 8 that more than 1,200 people have been killed in the war. AFP is not able to access the sites of strikes or independently verify tolls in Iran. In Israel, authorities said 14 people have been killed, while attacks in the Gulf have killed 24 people, including 11 civilians and seven US military personnel, according to local authorities and the US Central Command. The war has cost the United States more than $11.3 billion, lawmakers were told in a Pentagon briefing, according to the New York Times."
03-12-2026,Iran Israel war,New Age,World,States backing UN peacekeepers in Lebanon voice 'deep alarm' at hostilities,https://www.newagebd.net/post/africa/293722/states-backing-un-peacekeepers-in-lebanon-voice-deep-alarm-at-hostilities,"Around 30 countries, including those with United Nations peacekeepers in Lebanon, voiced concern Wednesday over renewed fighting after Israel launched strikes in retaliation for attacks by Hezbollah. 'We troop contributing countries to the UN peacekeeping force in Lebanon, joined by several other member states, express our deep alarm at the escalation of hostilities in Lebanon,' Jerome Bonnafont, the French ambassador to the United Nations, told reporters in New York. 'Faced with war, Lebanon must be supported. Its sovereignty and territorial integrity must be preserved. We express our full solidarity with Lebanon and the Lebanese people,' he added in the joint statement. Lebanon was drawn into the war last week when Iran-backed Hezbollah attacked Israel in response to the killing of Iranian supreme leader Ayatollah Ali Khamenei in US-Israeli strikes. Bonnafont said the countries he represented, including France, Britain, Germany, India and Korea, 'condemn in the strongest terms' Hezbollah's attacks. He spoke as the Security Council was to meet at the UN headquarters to discuss the uptick in fighting in Lebanon, which has left 570 people dead, according to the country's health ministry. Israel's UN envoy Danny Danon said Wednesday that Israeli forces will continue to operate in Lebanon 'as long as there will be a threat against us.' 'Israel does not want to be operating, but Israel will not accept rockets fired at our people, and we will do whatever is necessary to stop them,' Danon told reporters."
03-12-2026,Iran Israel war,New Age,World,Iran hits ships in Gulf chokepoint,https://www.newagebd.net/post/middle-east/293720/iran-hits-ships-in-gulf-chokepoint,"Iran fired on two commercial ships in the Gulf on Wednesday, setting at least one vessel on fire, as it pressed its campaign against its energy-exporting neighbours and forced world governments to dip into their strategic oil reserves. Oil prices surged higher by more than five per cent in early trading and markets have seen-sawed since the end of last month, when the United States and Israel attacked Iran, killed its supreme leader and plunged the Middle East into war. As the conflict entered its 12th day, Iran vowed to target 'economic centres and banks' that it deems linked to US and Israeli interests, and all eyes were on the Strait of Hormuz, the vital sea lane connecting Gulf oil and gas export terminals to the world economy. Iran's army said it had attacked key targets in Israel, including the military intelligence headquarters, a naval base in Haifa and a radar system. It also said it targeted US bases in Kuwait and Bahrain. Iran's Revolutionary Guard said it had struck the Liberian-flagged container ship Express Rome and the Thai bulk carrier Mayuree Naree because they had entered the Strait of Hormuz 'after ignoring the warnings of the IRGC naval forces'. Thailand's navy said the Mayuree Naree was attacked while transiting the strait. Oman's navy rescued 20 crew members, but efforts were underway to find three more. Pictures shared by the Thai navy showed black smoke pouring out of the vessel. IRGC naval commander Alireza Tangsiri said in a social media post that 'any vessel intending to pass must get permission from Iran'. Separately, the Iranian military's operational command declared on state television that any vessel that belongs to the United States, Israel or their allies would be considered a legitimate target and repeated a warning that it would 'not allow a single litre of oil to transit' the strait. Drones fell near Dubai airport, injuring four people. 'Two drones fell in the vicinity of Dubai International Airport a short while ago, resulting in minor injuries to two Ghanaian nationals and one Bangladeshi national, and moderate injuries to one Indian national,' the Dubai Media Office said. 'Air traffic is operating as normal,' it added. Saudi Arabia said it had intercepted a wave of seven drones heading towards a strategic oil field. 'Two drones heading towards the Shaybah oil field were intercepted and destroyed,' the defence ministry said in a post on X. It said another five drones were intercepted and destroyed in separate posts. The kingdom also said it intercepted seven ballistic missiles in separate attacks targeting the country's eastern region and the Prince Sultan Air Base, where an American soldier was hit on March 1 and died a week later. Israel pressed its attacks across Lebanon on Wednesday, hitting an apartment building in central Beirut, in the second targeting of the heart of the capital since the Middle East war began. Israel, which kept up its strikes in Lebanon even before the war despite a 2024 ceasefire, has since launched air raids across Lebanon and sent ground troops into border areas — an offensive that has left 570 people dead according to the health ministry. Lebanese authorities said that 7,80,000 people had been registered as displaced, with more than 1,20,000 staying in government shelters. The Israeli-US attacks came weeks after Iranian authorities ruthlessly crushed mass protests, although the United States and Israel say they are not necessarily seeking to topple the Islamic republic. Iranian authorities warned against dissent at home, with the country's police chief saying protesters would be viewed and dealt with as 'enemies'. 'All our forces are also ready, with their hands on the trigger, prepared to defend their revolution,' national police chief Ahmad-Reza Radan said, in comments aired by IRIB. In Iran, ordinary people were doing the best they could to adapt to living under frequent US-Israeli strikes. 'We've put our faith in God. For now, there's food in the shops. Every day I go to buy greens and bread, that's all,' Tehran resident Mahvash, 70, said journalists in Paris. 'People are calm,' said another resident. 'They are getting used to living despite everything and adapting — as best they can — to this situation.' The United States and Israel launched the war on February 28 with an attack that killed Iran's veteran leader, Ayatollah Ali Khamenei. His son Mojtaba Khamenei has been named his successor, though he has yet to appear in public, amid reports that he has been wounded. 'I heard news that Mr Mojtaba Khamenei had been injured. I have asked some friends who had connections. They told me that, thank God, he is safe and sound,' said Yousef Pezeshkian, son of Iran's president, in a post. Iran's health ministry said on March 8 that more than 1,200 people had been killed in US and Israeli strikes, and more than 10,000 civilians injured. AFP was not in a position to independently verify the figures. The war raging in much of the Middle East must be stopped before it engulfs the entire region at increasing cost to the global economy, Turkish president Recep Tayyip Erdogan said Wednesday. 'This war must be stopped before it becomes bigger and completely engulfs the region in flames,' he said, describing the Middle East as 'once again enveloped in a smell of blood and gunpowder'. 'If diplomacy is given a chance, this is entirely possible,' he insisted, a day after Iran's top diplomat Abbas Araghchi effectively ruled out negotiations with Washington, saying Tehran had had 'a very bitter experience of talking with Americans'. A drone strike in Iraq's Kurdistan region killed a member of an Iranian Kurdish armed opposition group on Wednesday, his exiled party said, with a senior official from the group blaming the attack on Iran. The Komala party is one of several Iraq-based Iranian Kurdish groups that have long opposed the Islamic republic. At least eight drones targeted the party's positions, killing one fighter, the party said. On Tuesday, the Pentagon said US forces had carried out strikes that destroyed 16 mine-laying vessels that could have been used to block the strait, but Iranian attacks with drones or missiles continued on Wednesday with at least three ships hit. 'If for any reason mines were placed, and they are not removed forthwith, the military consequences to Iran will be at a level never seen before,' US president Donald Trump posted on social media. The leaders of the G7 powers held a video meeting to discuss opening their strategic petroleum reserves to counter rising prices, in coordination with the International Energy Agency. Germany's energy minister Katherina Reiche said the IEA had asked member states to release 400 million barrels and that Germany would comply. Japan is ready to take the lead and to release oil reserves by Monday, without waiting for an IEA decision, prime minister Sanae Takaichi said. As Iran presses its quest to inflict maximum pain on the global economy, its missiles, drone strikes and threats have all but shut the Strait of Hormuz, through which 20 per cent of global crude and LNG passes. Analysts say a prolonged closure of the strait, which also carries a third of the fertiliser for world food production, would have a devastating effect on the global economy, particularly in Asia and Europe."
02-12-2026,Russia Ukraine war,New Age,World,Pro-Kremlin accounts using Epstein files to push conspiracy,https://www.newagebd.net/post/europe/291042/pro-kremlin-accounts-using-epstein-files-to-push-conspiracy,"Pro-Kremlin social media accounts are using the latest Jeffrey Epstein document release to bolster their efforts to spread baseless claims that Russia has saved Ukrainian children from sex trafficking, AFP research showed Thursday. AFP found posts viewed millions of times on Facebook, X and TikTok pushing the narrative, which contradicts real accounts of Russia forcibly deporting Ukrainian children since Moscow launched its full-scale invasion in 2022. Documents released on January 30 related to Epstein, the US financier who was found dead in his New York jail cell in 2019 while awaiting trial on child sex offences, have ensnared high-profile figures across the world. But pro-Kremlin accounts have also spread the idea that the documents prove Ukraine is a global hub for sex trafficking — an allegation Russia has long pushed. Some users claimed the files revealed Russian president Vladimir Putin was trying to save Ukrainian children from a network linked to Epstein, a convicted child sex offender. One recent post on X, viewed more than three million times, said the Epstein files 'confirmed ... Putin didn't kidnap children from Ukraine, instead evacuated them to protect them from being sold into child sex trafficking'. Since the invasion, Russia unlawfully moved almost 20,000 Ukrainian children over the border, according to Kyiv. Russia has acknowledged taking some children, saying this was for their safety. Some posts even suggested the latest tranche of files proves Epstein was trying to meet Putin to counter his efforts to stop child sex trafficking. Such claims surged on social media after latest file release, with over 15,000 X posts in two days, a London-based think tank, the Institute for Strategic Dialogue, said in a report released Thursday. While there is no evidence that the Russian state is behind the posts, the Epstein release 'plays into their hands' as a way to amplify previous claims, said one of the report's authors, Liana Sendetska. 'They are just trying to saturate the information space with all of this to see if it sticks,' said the report's co-author, Olga Tokariuk. The ISD also found over 1,50,000 X posts about saving children and Ukraine being a trafficking hub between September 2024 and August 2025, peaking around the third anniversary of the invasion. These claims were amplified by British and European politicians including acting MEPs, the ISD said. The Urban Scoop media platform set up by British anti-migrant activist Tommy Robinson last year released a documentary where a former UK lawmaker, Andrew Bridgen, made unproven claims about Ukrainian child trafficking. Bridgen also spoke on the show of US radio host and conspiracy theorist Alex Jones. The anti-Ukraine narrative involves British officials because the UK is 'one of the strongest supporters of Ukraine', Tokariuk said."
02-12-2026,Russia Ukraine war,New Age,World,Taiwan leader wants greater defence cooperation with Europe,https://www.newagebd.net/post/asia/291041/taiwan-leader-wants-greater-defence-cooperation-with-europe,"Taiwanese president Lai Ching-te called for greater defence and AI cooperation between Taiwan and Europe, as the democratic island seeks to bolster its protection against China. Lai said in his first interview with an international news agency since taking office in 2024 that Taiwan also supports the island's semiconductor companies investing overseas, including in Europe. Taiwan has stepped up efforts to strengthen security and economic ties with Europe, its third-largest export market, at a time when questions have been raised over US willingness to defend the island against a Chinese attack. China claims Taiwan is part of its territory and has threatened to use force to bring the self-governed island under its control. 'I would like Taiwan and Europe to enhance cooperation in the defence industry and on defence technology,' Lai said on Tuesday in an exclusive interview at the Presidential Office Building. Lai added that Taiwan, which makes nearly all of the world's most advanced chips, is also eager to 'work with Europe on joint development in AI and usher in an era of comprehensive smart transformation.' In response, Beijing's foreign ministry said efforts to boost cooperation between Taiwan and Europe would be futile as a means of defending the island. 'Seeking independence by relying on foreign support and using force to refuse reunification are acts of sheer folly, and doomed to fail,' foreign ministry spokesman Lin Jian told a regular news conference. The on-going war in Ukraine, where devastating drone attacks have been a key feature of the years long conflict, has offered valuable lessons for Taiwan's government as it plans for a potential attack by China. Lai praised 'European efforts to uphold universal values and their support for Ukraine's resistance against the Russian invasion'. 'Taiwan also stands with the Ukrainian people,' Lai said. Taiwan has ramped up military spending over the past decade and is building up its defence industry to make more equipment and ammunition on the island. But Taipei is under US pressure to do more on defence — and for its semiconductor manufacturers to increase production capacity in the United States. Advanced chips are not only the bedrock of AI development, but also essential in new generation technologies and equipments. The concentration of chip production in Taiwan has long been seen as a protection against an attack by China and an incentive for the United States to defend it. Lai said his government supports the semiconductor industry's investments overseas. TSMC, the world's largest contract chipmaker, has expanded into the United States, Japan and Europe. But for Taiwan to remain indispensable in the global supply chain, Lai said the island's semiconductor industry needs to keep its 'centres for research and development, the most advanced manufacturing processes, and the largest production capacity'. 'No single country in this supply chain can be missing,' Lai said. 'For this reason, the Taiwanese government supports the semiconductor industry's investments in Japan, the US and Europe.' Ahead of US president Donald Trump's planned meeting with Xi in Beijing in April, Lai said Taiwan welcomed any talks that helped maintain the status quo. 'We believe president Trump is undertaking a difficult peace-building effort, which entails safeguarding US interests and deterring Chinese expansionism in the short term,' Lai said."
02-12-2026,Russia Ukraine war,New Age,World,Three Ukrainian toddlers killed in Russian attack,https://www.newagebd.net/post/europe/290960/three-ukrainian-toddlers-killed-in-russian-attack,"A Russian drone strike on a house in northeastern Ukraine killed three toddlers and their father and wounded their pregnant mother, officials said Wednesday. Twin boys aged one and a two-year-old girl were killed in the attack late Tuesday night on the family's house in the city of Bogodukhiv, around 20 kilometres from the border with Russia. It triggered an outpouring of anger and grief. 'This is deliberate terror against civilians, against families, against children. Russia is consciously killing our future,' said prime minister Yulia Svyrydenko. Local prosecutors said the family had been trapped inside after the attack. Video posted by the emergency services showed a bright red flame and grey smoke billowing over the collapsed roof of a house. 'As a result of the strike, the house was completely destroyed and caught fire, and the family was trapped under the rubble,' prosecutors said in a statement posted on Telegram. The children's mother, who is eight months pregnant, survived, but sustained 'a traumatic brain injury, acoustic barotrauma, and thermal burns', prosecutors said. Their grandmother was also wounded in the attack and had been hospitalised, Bogodukhiv mayor Volodymyr Biely said in a statement. The head of the Velyka Rogozianka community in Kharkiv, where the family is originally from, said that they had only just moved to the town to be nearer to relatives several days earlier. The killed father served in the Ukrainian army for several months, starting in spring 2024. He was discharged after his leg was blown off by a mine, the official, Anatoliy Yeliseiev said. He added that the couple had only formally registered their marriage last week. The pregnant mother of the family was discharged from hospital later on Wednesday, he said. 'The shock has passed,' Yeliseiev said, referring to her condition, adding: 'I don't know how she survived.' President Volodymyr Zelensky said the attack showed Russia was not serious about ending the four-year war, unleashed by Moscow's invasion in February 2022. 'Each such Russian strike undermines trust in everything being done diplomatically to end this war and, time and again, proves that only strong pressure on Russia and clear security guarantees for Ukraine are the real key to stopping the killings,' he said on social media. He also said Russia had hit a hospital in the southern city of Zaporizhzhia in a separate drone attack. Moscow denies targeting Ukrainian civilians, even as thousands have been killed since it invaded. Under US pressure, the two sides have opened talks on trying to broker a deal to end the war. But their positions appear far apart with Moscow demanding sweeping territorial and political concessions from Ukraine that Kyiv rejects as tantamount to capitulation."
03-11-2026,Russia Ukraine war,New Age,World,Russia kills four in east Ukraine,https://www.newagebd.net/post/europe/293645/russia-kills-four-in-east-ukraine,"Russian strikes killed four people and wounded more than a dozen others in the embattled eastern Ukrainian town of Sloviansk, the regional authorities announced Tuesday. The Kremlin's forces are grinding towards the industrial hub in the Donetsk region, where Russia has concentrated its firepower since invading in February 2022. 'At least four people have been killed and 16 wounded,' the regional governor wrote on social media, adding that a 14-year-old girl was among those hurt. Meanwhile, Moscow's deportation and forcible transfer of children from Ukraine to Russia amounts to a crime against humanity, a United Nations team of investigators said Tuesday. The UN's Independent International Commission of Inquiry on Ukraine said it had collected evidence leading it to conclude that 'Russian authorities have committed the crimes against humanity of deportation and forcible transfer, as well as of enforced disappearance of children'. The probe was established by the UN Human Rights Council shortly after Moscow launched its full-scale invasion of Ukraine in February 2022. The inquiry said Russia had deported or transferred 'thousands' of children from occupied areas of Ukraine, of which it had so far confirmed 1,205 cases. 'Four years on, 80 per cent of the children deported or transferred in the cases investigated by the commission have not returned,' it said. Moscow has failed to establish a system facilitating returns, and has instead focused on long-term placement of the children with families or institutions in Russia, while relatives were not informed of their fate. The commission confirmed its previous finding that Russian authorities had unlawfully deported and transferred children — as a war crime — 'and that they have unjustifiably delayed their repatriation, which is also a war crime'. These measures 'were not guided by the best interests of the child', and have violated international law, the probe found. It said the involvement of Russian president Vladimir Putin, 'including through his direct authority over entities that have steered and executed this policy, has been visible from the outset'. In 2023, the International Criminal Court issued a war crimes arrest warrant against Putin, accusing him of 'unlawfully deporting' Ukrainian children. The issue is highly sensitive in Ukraine and remains central to negotiations for a potential peace agreement between Kyiv and Moscow. According to Kyiv, nearly 20,000 Ukrainian children have been forcibly removed since Russia's full-scale invasion. Russia insists it has moved some Ukrainian children from their homes or orphanages to protect them from hostilities. As for Russian trials in the context of its invasion of Ukraine, the commission found that Russian authorities have 'systematically fabricated evidence' and 'systematically violated a range of fair trial guarantees', while judges 'have not acted with independence and impartiality'. The commission also probed the situation of nationals from 17 countries who were recruited — either voluntarily or through deception — to fight with Russian troops in Ukraine. They included men from Azerbaijan, Belarus, Brazil, Cuba, Egypt, Ghana, India, Iraq, Kazakhstan, Kenya, Nepal, Somalia, Sri Lanka, Tajikistan, Turkey and Yemen. 'After training, usually lasting between one week and 30 days, they were forced to serve on frontlines in Ukraine, often assigned extremely dangerous duties,' the commission said in its report. Commanders arbitrarily imposed 'extreme violence' as punishment for refusing orders that meant almost certain death, with soldiers describing being treated like 'cannon fodder', sent on 'meat assaults' without training or necessary equipment, and 'forced to advance at all costs'. 'The evidence collected demonstrates abusive behaviour, cruelty, humiliation, inhuman treatment, and a total disregard for human life and dignity, perpetrated with a sense of impunity,' the report said."
